Table 5-6:  CH4 and N2O Emissions from Manure Management (MMT CO2 Eq.) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Animal Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,CH4a,37.2,38.9,37.5,39.2,42,43.3,42.6,44.7,48.7,49.3,50,52.2,53.5,54.4,53.1,56.3,57,62,61.4,60.4,62.1,63,65.6,63.3,62.9,66.3
,Dairy Cattle,14.7,15.2,14.8,15.4,16.4,17.1,17.4,18.1,19.3,21,22.2,23.8,24.6,25.9,24.7,26.4,27.3,30.3,31.1,31.1,31.4,32.4,34.3,33.4,34,34.8
,Beef Cattle,3.1,3.2,3.2,3.2,3.4,3.5,3.4,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.2,3.3,3.4,3.3,3.2,3.2,3.3,3.3,3.2,3,3,3.1
,Swine,15.6,16.8,15.9,17,18.5,19.1,18.2,19.6,22.3,21.2,20.9,21.4,21.9,21.5,21.5,22.9,22.6,24.6,23.4,22.5,23.8,23.7,24.5,23.2,22.2,24.6
,Sheep,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Goats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Poultry,3.3,3.3,3.2,3.3,3.3,3.2,3.1,3.2,3.3,3.1,3.2,3.3,3.2,3.3,3.2,3.2,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4
,Horses,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,American Bison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mules and Asses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,N2Ob,14,14.2,14.2,14,14.8,15.1,15.1,15.3,15.5,16.1,16.5,16.4,16.7,16.9,16.2,16.5,17.3,17.4,17.2,17.1,17.2,17.4,17.5,17.5,17.5,17.7
,Dairy Cattle,5.3,5.3,5.3,5.3,5.4,5.4,5.5,5.5,5.5,5.4,5.5,5.6,5.6,5.7,5.4,5.6,5.7,5.8,5.7,5.7,5.8,5.8,5.9,5.9,5.9,6.1
,Beef Cattle,5.9,6,6,5.7,6.2,6.5,6.4,6.4,6.5,7.2,7.4,7.2,7.4,7.5,7,7.2,7.7,7.6,7.5,7.5,7.6,7.7,7.7,7.7,7.8,7.7
,Swine,1.2,1.2,1.3,1.3,1.4,1.4,1.3,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,2
,Sheep,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Goats,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Poultry,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.6
,Horses,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,American Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Total,51.1,53.1,51.7,53.3,56.7,58.4,57.7,59.9,64.2,65.4,66.5,68.6,70.3,71.2,69.3,72.9,74.2,79.4,78.5,77.5,79.2,80.4,83.2,80.8,80.4,84
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA (Not Available),,,,,,,,,,,,,,,,,,,,,,,,,,
,a Accounts for CH4 reductions due to capture and destruction of CH4 at facilities using anaerobic digesters.,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Includes both direct and indirect N2O emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Totals may not sum due to independent rounding. American bison are maintained entirely on unmanaged WMS; there are no American bison N2O emissions from managed systems.,,,,,,,,,,,,,,,,,,,,,,,,,,
